Names,Website,Introduction,Phone Number,Address,Review Count,Average Review Count,Store Shopping,In Store Pickup,Delivery,Type,Opens At
Maruthi Engineers and Builders,meab.in,None Found,9964189871,"27, 2nd Main Rd, 2nd Block, Dwaraka Nagar, Chandra Layout, Attiguppe, Bengaluru, Karnataka 560040",11.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
Nehan Constructions & Interiors,,None Found,9880388331,"3rd cross, 80 Feet Rd, Maruthi Nagar, Chandra Layout, Bengaluru, Karnataka 560072",8.0,4.8,No,No,No,Contractor,
Power Design and Construction,powerdesignconstruction.in,None Found,8792671649,"105, Chandra Layout Main Rd, Govindaraja Nagar Ward, Widia Layout, Vijayanagar, Bengaluru, Karnataka 560040",49.0,4.7,No,No,No,Real Estate Builders & Construction Company, Opens 7am Sun
Siddeshwar Constructions,sidconstructions.in,None Found,9986888216,"39 S, Nagarbhavi 1st Stage, Chandra Layout, Attiguppe, Bengaluru, Karnataka 560040",3.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Team Construction And Solutions,,None Found,8904082250,"214, First Floor, Ambaru Arcade, 12th Block, Near Nammoorathindi,, Nagarabhavi Main Rd, 12 Block BDA layout, 2nd Stage, Chandra Layout, Bengaluru, Karnataka 560072",11.0,4.7,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
Gowri Infraengineers Pvt Ltd,,None Found,8023396999,"No.41, 3rd floor, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru, Karnataka 560040",39.0,4.3,No,No,No,Real estate developer,
Esha Constructions,eshaconstructions.com,None Found,9845122861,"901 & 902, 16th Cross Rd, Nagarbhavi 1st Stage, Stage 2, Chandra Layout, Bengaluru, Karnataka 560040",2.0,4.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
House-Construct | Top House Construction Company in Bangalore | Residential Construction | Commercial Construction,houseconstruct.in,None Found,7557557857,"216 First Floor, Service Road, 12 Block, BDA Layout, 2nd Stage, Naagarabhaavi, Bengaluru, Karnataka 560072",51.0,4.8,No,No,No,Real Estate Builders & Construction Company,
INSPIRATION GROUP,inspirationgroup.in,None Found,9945139393,"31, 4th Cross, Maruthi Nagar - Chandra Layout, Post, Naagarabhaavi, Bengaluru, Karnataka 560072",32.0,4.7,No,No,No,Custom home builder, Opens 10am Mon
Aastha Properties,aasthaproperties.in,None Found,9513639900,"First Stage, 3rd Phase, 9th Cross Rd, Chandra Layout, Bengaluru, Karnataka 560040",338.0,4.4,No,No,No,Real Estate Builders & Construction Company,
Roshni Construction,,None Found,9986049239,"18, Ground Floor, Balaji Senate, 80 Feet Rd, 2nd Block, Jyothi Nagar, Chandra Layout, Vijayanagar, Bengaluru, Karnataka 560072",,,No,No,No,Real Estate Builders & Construction Company,
Sriram Contructions,,None Found,9035001088,"117, 6th Cross Rd, Dwaraka Nagar, Canara Bank Colony, Attiguppe, Bengaluru, Karnataka 560040",11.0,3.6,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Saartha Constructions and Consultancy,,None Found,9945086747,"#220, 2nd A Main Rd, near Bandemaramma temple, Vinayaka Layout, 9th block, Marilingappa Extension, Naagarabhaavi, Bengaluru, Karnataka 560072",12.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
CIVIL HEM,civilhem.com,None Found,9886240535,"36 14th G main Road Weavers Society attiguppe Vijayanagar bangalore near, near metro piller no 370, Bengaluru, Karnataka 560040",33.0,4.9,No,No,No,Real Estate Builders & Construction Company,
Ellipsoid Constructions,,None Found,8023186543,"210, Magadi Main Rd, Govindaraja Nagar Ward, Priyadarshini Layout, Kamakshipalya, Bengaluru, Karnataka 560079",11.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
R S Construction & Consultancy,,None Found,7338330554,"Anjanadri layout, Vijayanagar Main Rd, Nagondanahalli, Whitefield, Bengaluru, Karnataka 560066",28.0,4.8,No,No,No,Architectural designer,
Mandir Constructions,mandirconstructions.com,None Found,9945797046,"BBMP Office, Hagadur, Near, Anjeeneya anugraha Apartment, A-Block, Immadihalli, Whitefield, Bengaluru, Karnataka 560066",49.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Dns Constructions,dnsconstructions.com,None Found,9986006025,"4th Floor, Balaraj's Arcade, Whitefield Main Rd, opposite to Brigade Cosmopolis, Whitefield, Bengaluru, Karnataka 560066",11.0,3.7,No,No,No,Real Estate Builders & Construction Company,
Yukthi Consultants and Contractors,,None Found,8123507678,"Immadihalli Main Rd, Vinayaka Layout, Whitefield, Bengaluru, Karnataka 560066",17.0,5.0,No,No,No,Real estate developer, Opens 10am Sun
Golden Valley Constructions Pvt. Ltd,goldenvalleyconstructions.com,None Found,9742624310,"9 3Rd floor, NBR Orchid, Varthur Main Rd, Kumarapalli, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066",11.0,4.7,No,No,No,Real Estate Builders & Construction Company,
RETVO INFRA PVT LTD,retvoinfra.com,None Found,8123701551,"Nallurahalli Main Rd, Palm Meadows, Balaji Layout, Whitefield, Bengaluru, Karnataka 560066",21.0,4.8,No,No,No,Real Estate Builders & Construction Company, Closes 6:30am Sun
Construction Bangalore,,None Found,9901665133,"6/4, opp. to WHITE BREEZE, Apartment, Whitefield, Bengaluru, Karnataka 560066",1.0,5.0,No,No,No,Real Estate Builders & Construction Company,
"SUPARNA Housing, Construction and Interiors",,None Found,8722899659,"No 117/2, First Floor, Vijayanagar main road, Near NVT Life Square Nagondanahalli, Whitefield, Bengaluru, Karnataka 560066",4.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Sun
SJ CONSTRUCTIONS,,None Found,9900147866,"#164, 2, 5th Main Rd, opp. Greenville Appartment, Hagadur, Vinayaka Nagar, Whitefield, Bengaluru, Karnataka 560066",8.0,4.1,No,No,No,Real Estate Builders & Construction Company,
Buildhood Infratech Pvt Ltd | House Construction Company | Builders | Best Home Construction Company,buildhood.com,None Found,7802808080,"107, 1st Floor, Brigade Arcade, Whitefield Rd, Brigade Metropolis, Garudachar Palya, Bengaluru, Karnataka 560048",88.0,4.8,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Sv construction,sv-constructions.com,None Found,9886816691,"railway station, AB Vajapayee Rd, behind white field, V S Reddy Colony, Kadugodi, Bengaluru, Karnataka 560067",5.0,4.2,No,No,No,Real Estate Builders & Construction Company,
Rachana Constructions (Turnkey-projects),rachanaconstructions.in,None Found,8088798772,"22, 1st main Road, Banakshankari 6th Stage, 11th Block srinivapura Gaanakallu, Kengeri-Uttarahalli main road, Dr, Vishnuvardhana Road, Bengaluru, Karnataka 560060",249.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 8am Sun
Adithya Constructions,adithyaconstructions.co.in,None Found,9535000046,"Sorahunase, Bengaluru, Karnataka 560087",136.0,4.3,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Bangalore Construction Company,bangaloreconstructioncompany.com,None Found,9499972778,"Ground floor no 9, Balagere to Varthur road Balagere Varthur, Hobli, Bengaluru, Karnataka 560087",136.0,5.0,No,No,No,Real Estate Builders & Construction Company,
EMERALD Engineers,,None Found,9845067211,"Dodda Banaswadi Main Rd, Delhi Narayanappa Layout, Jaibharath Nagar, Sathya Nagar, Maruthi Sevanagar, Bengaluru, Karnataka 560033",12.0,4.6,No,No,No,Home builder,
Sathya Sai Construction,,None Found,9620980078,"#21, 4th Main Rd, Ankappa Layout, Uttarahalli Hobli, Bengaluru, Karnataka 560061",16.0,4.6,No,No,No,Real Estate Builders & Construction Company,
My Home My Design - Builders N Developers,myhomemydesign.in,None Found,9845803701,"15/4, Gurunath, 2 A cross, Chikkalasandra Main Rd, Hanumagiri Nagar, post, Subramanyapura, Bengaluru, Karnataka 560061",44.0,4.8,No,No,No,Civil engineer, Opens 10am Mon
C S D Construction,,None Found,9611939874,"10, 2nd Cross Rd, Muneshwaranagar, Uttarahalli Hobli, Bengaluru, Karnataka 560061",51.0,4.9,No,No,No,Contractor,
VS Sattva Constructions,,None Found,9880309698,"159/7, 1st Cross, Chikkalasandra, Uttarahalli Hobli, Bengaluru, Karnataka 560061",2.0,5.0,No,No,No,Construction and maintenance office, Opens 10am Sun
RPR CONSTRUCTION,,None Found,9900169906,"20, 4th Cross Rd, Ankappa Layout, Uttarahalli Hobli, Bengaluru, Karnataka 560061",3.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Elite Homes | construction | Interior designers in Bangalore,,None Found,8553138891,"Elite Homes, #207, Bharat Housing Society Near Brigade Seven garden, Uttarahalli Hobli, Bengaluru, Karnataka 560061",23.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Shria interiors & constructions bangalore,,None Found,8660035352,"19th A Cross Rd, Ittamadu, Praghathi Pura, Padmanabhanagar, Bengaluru, Karnataka 560070",10.0,5.0,No,No,No,Real Estate Builders & Construction Company,
JKS innovative construction pvt ltd,jksconstructions.com,None Found,7811070801,"#738, GPLS, doddanagamangala, Electronic City, Bengaluru, Karnataka 560100",21.0,5.0,No,No,No,Real Estate Builders & Construction Company,
NAKSHATRA HOME CONSTRUCTION,,None Found,8971037060,"678 Dasappa layout Doddanagamangala, Electronic City, Bengaluru, Karnataka 560100",7.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
SRI HARI BUILDERS,,None Found,9341650730,"Service Rd, Chennakeshava Nagar, Lavakusha Nagar, Pragathi Nagar, Basapura, Bengaluru, Karnataka 560100",29.0,4.4,No,No,No,Home builder,
Mahaadeva constructions,mahaadevaconstructions.in,None Found,8919427048,"560100, Shikaripalya, Electronic City, Bengaluru, Karnataka 560100",38.0,4.5,No,No,No,Real Estate Builders & Construction Company,
MOJO Construction & Total Building solutions,,None Found,9698833339,"Phase 2, Rayasandra, Doddanagamangala Village, Bengaluru, Karnataka 560100",23.0,4.7,No,No,No,Contractor,
SNR INFRA ( READY MIX CONCRETE ),,None Found,8296767571,"70, Vittasandra Main Rd, Begur, Bengaluru, Karnataka 560068",19.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
Thanushya Civil & Building Contractors,,None Found,9886647393,"# 41, Service Rd, Lavakusha Nagar, Pragathi Nagar, Domlur, Bengaluru, Karnataka 560071",,,No,No,No,Civil engineering company,
Kalpavruksha constructions,,None Found,9008560024,"101st cross,kaveri layout, Haralur road,HSR layout extension, Kudlu, Bengaluru, Karnataka 560099",34.0,4.9,No,No,No,Construction and maintenance office, Opens 9am Sun
Sandy's Interior Factory,sandysinterior.com,None Found,9845140535,"Survey No 40/1, behind Notre Dame Academy, Choodasandra, Bengaluru, Karnataka 560099",13.0,5.0,No,No,No,Interior construction contractor,
Charge Infra,chargeinfra.in,None Found,6364049599,"Charge Infra, Next little Elly playschool, above baddyzone and Cultfit, HSR Layout, Bengaluru, Karnataka 560103",24.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Adithya Constructions and Home Loans,,None Found,7204407803,"166,2nd floor, MM Road, Cox Town, Bengaluru, Karnataka 560005",35.0,4.7,No,No,No,Civil engineering company,
Tycoon Constructions - Construction companies in Bangalore,tycoonconstructions.in,None Found,9972548168,"Smart plaze, Coles Rd, Cleveland Town, Pulikeshi Nagar, Bengaluru, Karnataka 560046",72.0,4.6,No,No,No,Real Estate Builders & Construction Company,
Spacious Homes construction LLP,spacioushomes.in,None Found,7340007347,"No. 37, Adams Corner, Coles Rd, above third wave coffee, Cleveland Town, Pulikeshi Nagar, Bengaluru, Karnataka 560005",39.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Panchamishree Constructions Pvt Ltd,,None Found,8880881222,"No.6, Lakshmiah Reddy Rd, Halasuru, Dodakattappa, Bengaluru, Karnataka 560008",14.0,4.8,No,No,No,Civil engineering company,
Ambient Controls Private Limited,ambientcontrols.co.in,None Found,8025487271,"81, Charles Campbell Rd, Cox Town, Bengaluru, Karnataka 560005",18.0,3.8,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Reddy Veeranna Construction P Ltd,,None Found,8022215152,"9/1, Second Floor, Richmond Rd, Classic Paradise Layout, Richmond Town, Bengaluru, Karnataka 560025",20.0,4.1,No,No,No,Real Estate Builders & Construction Company,
DAN Constructions Pvt. Ltd.,,None Found,8025281408,"41, 80 Feet Rd, Hal, HAL 3rd Stage, New Tippasandra, Bengaluru, Karnataka 560075",25.0,4.8,No,No,No,Real Estate Builders & Construction Company, Opens 9am Sun
Aarzan Developers India Pvt Ltd,aarzandevelopers.com,None Found,9886225999,"5/4-1, Wheeler Rd Ext, 1st Block, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560005",10.0,4.5,No,No,No,Real Estate Builders & Construction Company, Opens 8am Sun
R K Infra (India) Pvt Ltd,rkipl.in,None Found,8041123435,"2nd Floor, Opp: UB city, Eden Park, # No. 20, 204, Vittal Mallya Rd, Bengaluru, Karnataka 560001",16.0,4.8,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
VK Building Services Pvt. Ltd,vkbs.in,None Found,8042424610,"M, 142, 9th A Main Rd, LIC Colony, HAL 3rd Stage, Sector 11, New Tippasandra, Bengaluru, Karnataka 560075",84.0,4.2,No,No,No,General contractor,
Comfort Home Essential Construction Services,,None Found,9901158976,"28/1, Lake View Road, Byrasandra, C V Raman Nagar, Bengaluru, Karnataka 569093",7.0,2.6,No,No,No,Painter, Opens 9am Mon
VASUNDHARA CONSTRUCTIONS,vasundharaconstructions.in,None Found,7204461370,"Byraveshwara Layout, #47, 1st cross, Park Rd, Bengaluru, Karnataka 560015",10.0,4.2,No,No,No,Real Estate Builders & Construction Company, Opens 8am Mon
"BYNA CONSTRUCTIONS, Proprietor M.B.H.Gowda",,None Found,8971888575,"04, Hesarghatta Rd, opposite to ASCENT PU COLLEGE, Havanur Layout, Bagalakunte, Bengaluru, Karnataka 560057",22.0,4.6,No,No,No,Civil engineering company,
J P S Constructions,jpsinteriors.in,None Found,9738892499,"8, MEI Colony, Peenya III Phase, Peenya, Bengaluru, Karnataka 560058",51.0,4.9,No,No,No,Civil engineering company, Opens 9am Sun
CREATIVE CONSTRUCTIONS,,None Found,9731154920,"#32/1, 4th Cross 5th Main, Babanna Layout, Mallasandra, T. Dasarahalli, Bengaluru, Karnataka 560057",13.0,4.7,No,No,No,Contractor,
CUTE HOMES-Engineers & Contractors,cutehomes.net,None Found,9148484841,"93, RAGALAYA, First Floor, 2nd Cross Rd, Sonnappa Layout, H A Farm Post, Bhuvaneswari Nagar, Byatarayanapura, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024",97.0,5.0,No,No,No,Construction and maintenance office, Opens 10am Mon
Mom's construction,,None Found,8095872318,"Lakshmi Nilaya, #14, 8th cross, shree, Agrahara Dasarahalli, Bengaluru, Karnataka 560079",5.0,4.6,No,No,No,Real Estate Builders & Construction Company,
Building Contractors In Bangalore,,None Found,9513874989,"Sambaram College Road Near Ambabhavani temple, Post, Vidyaranyapura, Bengaluru, Karnataka 560097",12.0,4.3,No,No,No,Civil engineering company, Opens 8:30am Sun
"YES Design & Construction I Civil Construction Contractors, Rajajinagar",yesconstructions.com,None Found,9739460642,"446, 8th Main Rd, 16th Cross Rd, BEML Layout, Basaveshwar Nagar, Bengaluru, Karnataka 560079",44.0,5.0,No,No,No,Real Estate Builders & Construction Company,
HR Construction Solutions - Best construction company in Bangalore,hrconstruction.in,None Found,8029522898,"MARASANDRA, YELAHANKA-DODDABALLAPURA MAIN ROAD DODDA TUMKUR POST, NORTH, TALUK, HESARAGHATTA HOBLI, Bengaluru, Karnataka 561203",49.0,4.3,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Buildwell Total Construction Solution,buildwellconstructions.com,None Found,9880234335,"I- Sy.No.89, Singapura Main Rd, Simhadri Layout, Abbigere, Bengaluru, Karnataka 560097",30.0,4.5,No,No,No,Real Estate Builders & Construction Company,
Navsidee Constructions and Consultancy,,None Found,7204021022,"No. 23, Rangappa Layout, Hessaraghatta Main Road Post, Mallasandra, T. Dasarahalli, Bengaluru, Karnataka 560057",42.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Alankrutha Constructions,,None Found,9380985353,"Chamundeshwari Nilaya, No.35, 2nd Cross Rd, Vidya Nagar, T. Dasarahalli, Bengaluru, Karnataka 560057",2.0,5.0,No,No,No,Contractor,
Reliable Consultants and Constructions,rccbengaluru.com,None Found,7022876667,"671, 2nd Floor, 1st Main Rd, Kirloskar Layout, Soundarya Layout, Bengaluru, Karnataka 560073",14.0,4.9,No,No,No,Real Estate Builders & Construction Company,
Civil Architecture Structural Engineer's,m.indiamart.com,None Found,9731858957,"8th Main Rd, Agrahara Dasarahalli, Rajajinagar, Bengaluru, Karnataka 560079",194.0,5.0,No,No,No,Civil engineer, Opens 9am Mon
CICON Engineers Pvt. LTD.,ciconengineers.in,None Found,8022560622,"No. 61/2, Doddakallasandra, Gubblala Cross, Kanakpura Road, Bengaluru, Karnataka 560062",2.0,5.0,No,No,No,Contractor, Closes 7:30am Sun
Kubhera Infratech,kubherainfratech.com,None Found,9742836666,"14/15/1, Ground Floor 6th Main Rd, Kuvempu Nagar, Doddakallasandra, Bikasipura, Bengaluru, Karnataka 560062",10.0,3.8,No,No,No,Electrical engineer,
SAI CONSTRUCTION,saiconstruction.co.in,None Found,9811413772,"VGJX+XRW, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062",38.0,3.8,No,No,No,Contractor, Opens 9am Sun
SSK CIVIL WORKS AND SERVICES AND SSK WATERPROOFING WORKS,sskcivilworksandservices.netlify.app,None Found,9008659195,"55, Kanakapura Rd, opp. Police Station, Bengaluru, Karnataka 560082",32.0,3.8,No,No,No,Civil engineering company,
Oraiyan Groups - Electronic city,oraiyangroups.com,None Found,7204521902,"3rd floor ,Neeladri Rd, Doddathoguru Begur hobli, Electronic City, Electronics City Phase 1, Doddathoguru, Bengaluru, Karnataka 560100",16.0,4.9,No,No,No,Real Estate Builders & Construction Company,
WeReach Properties - Best Builders in South Bangalore,wereach.in,None Found,9902002788,"69, 2nd Main Rd, Tech City Layout, Celebrity Paradise Layout, Doddathoguru, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",12.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
AGILE BUILDERS,,None Found,7892264569,"14th Cross Road, Neeladri Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",2.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 11am Sun
Siri Group,sirigroupindia.com,None Found,9611554499,"No. 209, 5th Cross Rd, Celebrity Paradise Layout, Doddathoguru, E-City Post, Electronic City, Bengaluru, Karnataka 560100",2.0,3.5,No,No,No,Real Estate Builders & Construction Company, Opens 9am Sun
Encivil India,,None Found,9845919332,"101, Shikaripalya Main Rd, Shikaripalya, Electronic City, Bengaluru, Karnataka 560100",6.0,4.2,No,No,No,Real Estate Builders & Construction Company,
India Builders Corporation,ibc.co.in,None Found,9739002711,"Block Tower B, Diamond District, B9, Corporate, # 150, HAL Old Airport Rd, Bengaluru, Karnataka 560008",48.0,4.6,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
BCD Group India,bcdindia.com,None Found,6366302587,"Diamond District I, 03, HAL Old Airport Rd, Kodihalli, Bengaluru, Karnataka 560008",13.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
Bhandari Builders Limited,,None Found,8025210979,"Diamond District, I01, 72, HAL Old Airport Rd, Domlur, Bengaluru, Karnataka 560008",22.0,4.5,No,No,No,Builder,
Skyline Infrastructure,skylineinfrastructure.in,None Found,8043729217,"4/1, Divya Heights, 4th floor, Krishna Reddy Colony, Domlur, Bengaluru, Karnataka 560071",8.0,4.4,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
Sree Krishna Constructions,sreekrishnagroup.in,None Found,8025210232,"1074, 11th Main Rd, 8th - Cross Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008",14.0,4.6,No,No,No,Real Estate Builders & Construction Company,
URC Constructions Private Limited,urcindia.com,None Found,8025259070,"810, 1st Cross Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008",77.0,4.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
HPR CONSTRUCTIONS,hprconstructions.in,None Found,9740028299,"No 67, Shivashakthi Enclave, near, Surya Narayan Temple Rd, Krishna Reddy Layout, Amarjyoti Layout, Domlur, Bengaluru, Karnataka 560071",2.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Shreeji Associates,shreejigroups.in,None Found,8041155493,"219, Amarjyoti Layout, Domlur, Bengaluru, Karnataka 560071",14.0,4.9,No,No,No,General contractor, Opens 10am Mon
Gina Engineering Company,ginaengineering.com,None Found,8861005425,"# 330, Double Road, Next to Bank of Baroda, 1st Stage, Indiranagar,, Bengaluru, Karnataka 560038",199.0,4.3,No,No,No,Real Estate Builders & Construction Company,
R Squire Lifestyle Developers (P) Ltd.,rsquirelifestyle.com,None Found,6282359809,"5th floor, 1134, Sreeram Nivas, 100 Feet Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038",9.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Larsen & Toubro Limited,larsentoubro.com,None Found,8040100100,"19, 1st and 2nd Floor, Kumara Krupa Road, Bengaluru, Karnataka 560001",294.0,4.3,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
Santhosh Buildwel Infra Pvt. Ltd.,santhoshbuildwelinfra.com,None Found,8022257775,"33, Swiss Complex, Race Course Rd, Madhava Nagar, Gandhi Nagar, Bengaluru, Karnataka 560001",32.0,4.8,No,No,No,Real Estate Builders & Construction Company,
Zuony Infra Constructions,zuonyinfra.com,None Found,8105452228,"1, Yamuna Bai Rd, Madhava Nagar, Gandhi Nagar, Bengaluru, Karnataka 560001",5.0,5.0,No,No,No,Real Estate Builders & Construction Company,
SGR GROUND ENGINEERING PROJECTS,,None Found,8042031341,"107/14, Gandhi Bazaar Main Rd, opposite national co-operative bankgandhi, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",10.0,5.0,No,No,No,Real Estate Builders & Construction Company, Closes 5:30am Sun
Prakash Engineers,,None Found,9886495017,"7, First floor, Puttanna link road, behind Vidyarthi Bhavan, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",55.0,4.7,No,No,No,Civil engineering company,
GR Group,grgroup.in,None Found,8861204263,"# 142-143, GR Plaza, 1st Floor,, DV Gundappa Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",97.0,4.2,No,No,No,Real estate developer,
Mehta Engineers & Developers,mehtaengineer.net,None Found,8026605441,"Shop No.#71, Ajay Arcade, Vanivilas North Road, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",11.0,4.5,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
Turnkey Construction Engineers,turnkeyce.com,None Found,8026600669,"No.39/1, 2nd floor, Sannidhi Rd, NR Colony, Basavanagudi, Bengaluru, Karnataka 560004",9.0,4.7,No,No,No,Real Estate Builders & Construction Company,
HGC India,hgcindia.in,None Found,9211111287,"Terrace floor, Golden Tower, 57, DV Gundappa Rd, Basavanagudi, Bengaluru, Karnataka 560004",13.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
Adishakthi constructions,,None Found,9845131262,"no 304 no 1, Suraj Ganga Orchid, 2, Diagonal Rd, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004",1.0,5.0,No,No,No,Construction and maintenance office, Opens 9am Mon
Sai Snigdha Construction,,None Found,9900090008,"6, W Anjaneya Temple St, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",9.0,4.4,No,No,No,Real Estate Builders & Construction Company,
BHADRA Group,bhadragroup.com,None Found,9019771977,"59/4, ""BHADRA"", 1st Floor, Market Rd, Basavanagudi, Bengaluru, Karnataka 560004",120.0,4.4,No,No,No,Real estate developer, Opens 10am Mon
STOA Constructions,,None Found,9739913996,"55, Surveyor St, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",,,No,No,No,Real Estate Builders & Construction Company,
RRBC Group,rrbcgroup.com,None Found,8026602650,"Builddcon Pvt Ltd, 67/1, Rajarajeshware, Nettakallappa Cir, Basavanagudi, Bengaluru, Karnataka 560004",112.0,4.3,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
Nammane Ventures,nammaneventures.com,None Found,9739435250,"59/3, W Anjaneya Temple St, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",3.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Vishal Infrastructure Ltd,vishalinfra.com,None Found,8026254000,"52, Rashtriya Vidyalaya Rd, 2nd Block, Basavanagudi, Bengaluru, Karnataka 560004",28.0,4.0,No,No,No,Road Contractor,
SEMAC Consultants Ltd - EPC Contractors & Architecture Firm | Industrial Building Design & Construction Company in Bangalore,semacconsultants.com,None Found,9987522419,"No. 37, Suryalaya, Shankar Mutt Road, Shankarpuram, Basavanagudi, Bengaluru, Karnataka 560004",137.0,4.4,No,No,No,Consultant, Opens 10am Mon
Suraksha Constructions,,None Found,9743327555,"49, 2nd & 3rd Floor, R.S Plaza, Bellary Rd, above Shree Nidhi Vet Pharma, next to CBI Office, Bengaluru, Karnataka 560024",36.0,4.9,No,No,No,Real Estate Builders & Construction Company,
BHUMI CONSTRUCTIONS AND DEVELOPERS,bhumiconstructions.in,None Found,9880300171,"19/1, 1st Main Rd, behind CBI Office, above Bank of Baroda, KGH Layout, Ganganagar, Bengaluru, Karnataka 560032",16.0,4.0,No,No,No,Real estate developer, Opens 10am Mon
ARASU CONSTRUCTIONS,arasuconstructions.com,None Found,9611537708,"IM ICON. 647, 7th Main, HMT Layout, CBI Road, Ganganagar, RT Nagar, Bengaluru, Karnataka 560032",16.0,4.3,No,No,No,Real Estate Builders & Construction Company,
Aaryan Homes - Best Construction Company in North Bangalore,aaryanhomes.in,None Found,9880053505,"65, 2nd Cross Rd, P&T Colony, RT Nagar, Bengaluru, Karnataka 560032",49.0,4.8,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Sun
SNS Construction and Interiors,,None Found,9886096350,"Post office, #4 , 6 th Main Road , KHM Block , Opp R T Nagar, Ganganagar, Bengaluru, Karnataka 560032",6.0,4.8,No,No,No,Real Estate Builders & Construction Company,
JJ-CONSTRUCTIONS & INTERIORS,,None Found,9611829320,"No 13 80 FEET ROAD END, Rabindranath Tagore Nagar Main Rd, BANGALORE, Bengaluru, Karnataka 560032",11.0,4.8,No,No,No,Real Estate Builders & Construction Company,
Lumbini Developers,,None Found,8867535577,"NO 9 Maleege, 2nd floor, Bellary Rd, opp. Veterinary Hospital, Ganganagar, Bengaluru, Karnataka 560032",8.0,4.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Sun
A&M CONSTRUCTIONS,,None Found,8660128501,"8, 1st Main Rd, 1st Block, RT Nagar, Bengaluru, Karnataka 560032",21.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Sun
Behl Construction Company,behlconstruction.com,None Found,9343771149,"12 , 3rd Floor, ANUKRITI COMPLEX, Double Rd, B.G, S.LAYOUT, Jakkuru, Bengaluru, Karnataka 560064",94.0,4.2,No,No,No,Real Estate Builders & Construction Company,
G - Cons,gcons.in,None Found,8041532137,"Balaji Complex, 3, 3rd Floor, RT Nagar Main Rd, next to Shanthi Sagar, RT Nagar, Bengaluru, Karnataka 560032",59.0,4.2,No,No,No,Waterproofing service, Opens 9am Mon
